ID,EDGE_TYPE,HEAD_ENTITY,TAIL_ENTITY
1,InstanceOf,grenadine,drink
2,SubclassOf,alphorn,musical instrument
3,InstanceOf,naan,food
4,HasAttribute,naan,Indian
5,InstanceOf,Sangria,drink
6,InstanceOf,Antarctic continent,geographic region
7,InstanceOf,IMAX,product
8,InstanceOf,Sopwith Camel,animal
9,SubclassOf,Sherry,drink
10,InstanceOf,mashed potato,food
11,HasAttribute,mashed potato,creamy
12,InstanceOf,Amontillado,Sherry
13,InstanceOf,Korea,geographic region
14,InstanceOf,Mickey,animal
15,SubclassOf,otter,animal
16,SubclassOf,Manzanilla,Sherry
17,SubclassOf,jam,food
18,SubclassOf,Eurasian otter,otter
19,SubclassOf,strawberry jam,jam
20,InstanceOf,Central Asia,geographic region
21,SubclassOf,river otter,otter
22,InstanceOf,Polynesia,geographic region
23,InstanceOf,North Caucasus,geographic region
24,InstanceOf,Middle East,geographic region
25,InstanceOf,Indian subcontinent,geographic region
26,InstanceOf,Holland,geographic region
27,InstanceOf,olive oil,food
28,SubclassOf,mare,animal
29,InstanceOf,buttermilk,drink
30,SubclassOf,genet,animal
31,SubclassOf,tapir,animal
32,SubclassOf,lion,animal
33,SubclassOf,blouse,product
34,InstanceOf,Southwestern United States,geographic region
35,SubclassOf,Tsavo Man-Eaters,lion
36,InstanceOf,Pappy Van Winkle's Family Reserve,drink
37,InstanceOf,Darien Gap,geographic region
38,SubclassOf,pig,animal
39,SubclassOf,boar,pig
40,SubclassOf,dog,animal
41,SubclassOf,garibaldi,blouse
42,InstanceOf,Corn Belt,geographic region
43,SubclassOf,guimpe,blouse
44,SubclassOf,middy,blouse
45,InstanceOf,sugarcane,product
46,InstanceOf,Greater Boston,geographic region
47,SubclassOf,note-pad,product
48,InstanceOf,XXXX Gold,drink
49,InstanceOf,sofrito,food
50,InstanceOf,XXXX Bitter,drink
51,InstanceOf,Hachikō,dog
52,SubclassOf,spinet,musical instrument
53,InstanceOf,scrod,food
54,SubclassOf,journal,note-pad
55,SubclassOf,daybook,journal
56,SubclassOf,diary,journal
57,SubclassOf,exercise book,note-pad
58,SubclassOf,sketchbook,exercise book
59,InstanceOf,Everclear,drink
60,SubclassOf,commonplace book,note-pad
61,SubclassOf,jotter,note-pad
62,SubclassOf,playbook,note-pad
63,InstanceOf,Johnnie Walker,product
64,InstanceOf,cortado,drink
65,SubclassOf,nails,consumables
66,SubclassOf,piano,musical instrument
67,SubclassOf,grand piano,piano
68,SubclassOf,baby grand,grand piano
69,SubclassOf,vodka,drink
